Nama_Produk,Harga,Rating,Terjual,Lokasi
Kopi Arabika Bali Kintamani Bundling Kopi Arabika Semendo Biji Bubuk,182900.0,5.0,500.0,Bekasi
Kopi Arabika Flores Bajawa,52000.0,5.0,100.0,Jakarta Selatan
ROASTED BEANS  ARABIKA FULL WASH KERINCI 1KG | BIJI KOPI SANGRAI Coffee Espresso,219900.0,4.9,40.0,Kab. Bogor
Kopi Arabika Malabar,58900.0,5.0,25.0,Jakarta Selatan
ARUTALA Kopi Susu Blend - For Kekinian Coffee - 200 gram,64900.0,4.9,10000.0,Tangerang
ICOO Coffee Wine Process Single Origin Java Preanger Kopi Asli Jawa Barat V60 Vietnam Drip Esperesso Americano Natural,132000.0,5.0,30.0,Kab. Bandung
ARUTALA Kopi Robusta Gold 200 gram,58900.0,5.0,3000.0,Tangerang
Sopic Coffee Roastery Bubuk Kopi Robusta Sidikalang 500 gr Diolah Secara Tradisional Ideal untuk Pemakaian Komersial dan Sarapan Pagi,145900.0,4.8,3000.0,Medan
AURORA | ANAEROB NATURAL | HONEY | SPECIALTY FILTER COFFEE,54862.0,5.0,1000.0,Kab. Sleman
ARUTALA Gourmet Blend Kopi - For Manual Brewed Coffee - 200 gram,86900.0,4.9,4000.0,Tangerang
ARUTALA Kopi Toraja Rantebua Robusta Coffee 500 Gram,142900.0,4.9,6000.0,Tangerang
Kopi Espresso House Blend Signature Coffee Roast Beans Coffe Biji Bubuk Sakha Coffe Roastery,45900.0,5.0,100.0,Denpasar
Kopi Espresso Blend Strong Black Coffee Beans Kopdar Coffe Biji Bubuk,41800.0,5.0,750.0,Bekasi
Kopi Robusta Kintamani 250 Gram - Roast Bean Premium Bubuk Murni Espresso Asli Original | Brevia Coffee,62800.0,4.9,250.0,Jakarta Timur
Biji Kopi Bubuk Fine Robusta Gayo Aceh Coffee Beans Sakha Roastery 1Kg,229900.0,5.0,3000.0,Bekasi
BREVIA Kopi Robusta Lampung Jantan - Coffee Roast Bean Bubuk Murni Espresso Asli Original,47900.0,4.9,70.0,Jakarta Timur
kopi arabika ceriakopi 1kg,49900.0,4.8,50.0,Bandung
Kopi Aceh Robusta Gayo 1 Kg KOPI SARING KOPI SANGER KOPI SUSU KOPI HITAM,65850.0,4.8,10000.0,Medan
KOPI ARABIKA HALU BANANA HONEY 200 GRAM BIJI DAN BUBUK - Sutoyo Coffee,59900.0,4.9,3000.0,Bandung
ARUTALA Kopi Arabika Malabar 500 gram,209900.0,5.0,250.0,Tangerang
KOPI ARABIKA SIDIKALANG 100 GRAM BIJI DAN BUBUK - Sutoyo Coffee,94900.0,4.9,250.0,Bandung
ARUTALA Coffee Journey -  Arabika Bali (1 Pcs - 10gr),8900.0,4.9,100.0,Tangerang
Kopi Arabika bali kintamani 250 GRAM 100% single origin bubuk espresso americano Coffee arabica,80000.0,4.8,50.0,Jakarta Selatan
BIJI KOPI 50% ARABICA 1KG Ekonomis Espresso Blend By Sakha Coffee Roastery,249900.0,4.9,8000.0,Bekasi
1 KG KOPI ARABICA TEMANGGUNG NATURAL ROAST BEAN JUAL ARABIKA GROSIR,14800.0,4.9,1000.0,Magelang
KOPI TANPA AMPAS Coffee Arabica 5 Sachet Coffe Arabika Instan Free Box,49900.0,5.0,500.0,Bekasi
Kopi Arabika Lereng Sindoro Temanggung Premium 250gr,75000.0,5.0,100.0,Semarang
Biji Kopi Arabika ALEXANDER LE GRAPE Coffee Bean Arabica Bubuk Coffe,89900.0,4.9,750.0,Denpasar
Kopi Arabika Bali Kintamani Natural 250 Gram  - Arabica Coffee Roast Bean     Biji   Bubuk Espresso Asli Original lokal Sweet,32600.0,5.0,100.0,Jakarta Timur
Excelso Kopi Brazilian Santos Bubuk 200g,69900.0,5.0,6000.0,Tangerang
COFFEE BEAN BIJII KOPI ARABIKA KERINCI 100 GR,44100.0,4.8,100.0,Jakarta Timur
BREVIA Kopi Arabika Ijen Java Geisha 250 Gram Coffee Beans Arabica Single Origin Espresso Asli Original kadokopi Biji Bubuk,86000.0,4.9,100.0,Jakarta Timur
{2 BOX} KOPI BAHA614 by JET-M - Kopi hitam gingseng arabika Tanpa Gula Rasa Bold Aroma Khas Nusantara Praktis Disajikan Biji Kopi Berkualitas untuk Penggunaan Harian Air Bubuk Coffee Robusta Espresso,129900.0,4.7,1000.0,Bandar Lampung
Kopikina Fruity Espresso Specialty Full Arabica Blend Haraka,69900.0,5.0,2000.0,Jakarta Timur
